sensor_zone_1_1,sensor_zone_1_2,sensor_zone_1_3,sensor_zone_1_4,sensor_zone_1_5,sensor_zone_2_1,sensor_zone_2_2,sensor_zone_2_3,sensor_zone_2_4,sensor_zone_2_5,sensor_zone_3_1,sensor_zone_3_2,sensor_zone_3_3,sensor_zone_3_4,sensor_zone_3_5,sensor_zone_4_1,sensor_zone_4_2,sensor_zone_4_3,sensor_zone_4_4,sensor_zone_4_5,sensor_zone_5_1,sensor_zone_5_2,sensor_zone_5_3,sensor_zone_5_4,sensor_zone_5_5,sensor_network
35629.480093656566,21727.106503866835,32391.769897232956,18951.011957973547,42480.1383990928,23078.921848656726,0.0,0.0,363.17952994160055,21750.658637819663,26638.71712407712,0.0,0.0,0.0,25430.514809127897,21180.729204751937,224.0,0.0,0.0,28304.480334572214,23117.6063198777,23298.974751936756,26371.055112272978,18361.944249816665,36700.89242883349,1028191.1948494102
42208.649515605124,39358.952652862856,63515.771663339896,39378.42414593212,77130.06790092694,37853.087681359226,16365.884390441044,14109.325908087569,19333.83482876891,55111.75589619046,67898.48252856571,10888.0077164871,0.0,8697.859021335404,61857.6941539158,32463.686053674617,9751.695150790443,12597.273474625088,17043.39052864574,42140.563943703935,55236.46093136133,38257.592350315135,50546.05554145632,46375.74556300851,72542.84098518148,1688032.1194431365
55585.63612528168,45552.35365517844,63111.13572742967,47711.77940737752,73136.72388942559,43643.81622946353,62693.553573815305,75652.34851257896,71726.42167027072,58697.37312216094,55074.01412774391,69997.4675899257,1941.818775114747,76636.42584725976,67804.29698715186,40374.246728923696,49983.80383591573,69429.82526229393,70623.69459649628,36963.19653768884,67460.65372628791,32993.917801185846,74331.14211158855,49457.96812947654,65060.433880037905,2281633.36254094
65757.21831142525,47266.14400994304,56150.483414894654,37386.91489013166,64283.302764975044,35508.94322554588,58913.96904941002,117334.93600333834,101808.51132039746,52751.296231752814,67806.10472645002,107347.56117184693,133485.565792698,135292.97389887116,71114.62645955833,44058.7049415806,79288.2419223815,122744.4156267159,92519.52537855158,47671.77652266784,58514.42964236101,46082.585671852765,73133.62046168813,56489.011221994595,53443.80987810699,2791365.670337486
62109.36117680384,44734.1912460069,54204.46147313738,58826.993137518264,66551.72240439703,41918.13078685281,87063.75390390359,136989.0799532681,91960.66404487839,37280.225488448596,69606.26988750658,132747.18346949568,381816.66934287176,151632.66666600603,68280.40594885447,40339.633447216285,84467.93357204313,161349.53368116595,94578.68609687613,46780.6983106926,57206.37567538496,56377.324594288475,67542.95679158818,52427.22208745929,47390.88611627064,3270600.8078067517
56784.03088373918,45698.44664693022,64344.95675124691,59118.24946756024,67670.61340295096,39917.84358138349,106462.47984310202,186193.81524699394,121814.31466430139,44104.741028177385,63159.80858106186,196837.1624434238,415221.26887055236,215298.92537400947,59501.94060197203,53617.27087602588,119636.5017039841,212924.06421651648,97146.17043262169,63001.02628405596,69469.86529383298,55697.952143399256,60749.99965346445,43390.21841194559,70555.09766329735,3746082.5808624118
68648.99009660051,55749.26047866375,81363.66181961948,58054.045689292325,72120.95967810205,65191.21538710443,145833.22253839896,235259.62579592917,151525.39439330882,55355.943131911554,78519.14161853706,240961.2811726496,413343.807260324,244543.86024459632,85287.67972461175,61384.90654601839,161358.4709737534,259528.18900692585,149891.69763585087,63511.64798912917,59112.17730826632,46982.92684591682,72997.32091352102,50594.166916689835,78194.70043431222,4326873.615492099
83097.87053027861,73602.79701969832,116298.97828670318,77080.3451844189,82255.67496305429,101757.99411542593,158781.0498637477,247614.64210897297,164128.12021101822,75495.45619584879,102733.85997234232,243554.257907201,424785.9952383827,255725.2625442601,111317.83040060988,65492.81572365757,157850.2890174488,265658.1990880876,164268.2523067314,75599.93831922287,90509.31617767214,73884.78662007075,110691.38485348372,73698.43741755755,106203.89554953137,4884604.6471263245
95589.01513825606,72099.33630058276,108019.82775962449,88985.06447448894,82496.83966374904,102688.48893343775,163186.64458692924,275254.9489226931,161990.70185616778,54812.45363621001,110022.60089390923,249916.24775958795,411481.5075653291,251960.54410202385,128041.02459258464,72310.78426938785,154839.2868076284,279004.623047546,150819.62715846975,77776.50281311519,119911.24153981218,85862.99100147764,117243.54551623449,91278.62931953087,97928.21250066922,5308680.909266575
116941.96831318564,91059.7888405734,131440.92893302673,75479.11433755625,102819.49345506434,92071.20782878471,167431.57892380207,259214.44683270174,153515.6097851125,78528.56195587726,103116.02365749069,251932.05129912437,430962.44122985145,248833.19818014393,96506.79852792928,67197.71410509394,169321.5769881312,262957.5514440354,167508.82784406634,88177.8193465555,110267.02177914337,103722.60974505384,100556.6588097656,89177.06258071087,105189.59666591253,5473920.586152737
113905.223613656,80663.55469418177,132755.11093059578,93032.24635165361,94551.12513670891,90459.56492582175,166402.6262119186,266606.53898406087,139699.67713564922,99276.49553334925,113130.68447207467,248640.87796508853,412632.6391198492,246745.6878914497,106811.91615563633,76541.7366683193,179453.59336215633,262737.44883499393,165052.9952030099,82847.18604695026,106266.15448498668,89303.2812798017,110850.57059250484,92364.91313742752,115406.71786407905,5524830.514080419
